run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,A,S,30,0,0,10.000000,63.333333,16.666667,3.333333,0.000000,3.333333,3.333333,0.000000,0.000000,0.000000,0.000000,8,25,96.000000,6
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,D,S,29,0,2,0.000000,48.387097,25.806452,6.451613,3.225806,3.225806,6.451613,0.000000,0.000000,0.000000,6.451613,16,18,89.473684,8
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,A,S,52,0,1,9.433962,60.377358,18.867925,0.000000,3.773585,3.773585,0.000000,0.000000,1.886792,0.000000,1.886792,14,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,D,S,53,0,1,1.851852,53.703704,33.333333,5.555556,3.703704,0.000000,0.000000,0.000000,0.000000,0.000000,1.851852,5,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,DENMARK,BILLUND,SUN AIR JETS,A,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,2,50.000000,18
22/07/2022 16:26,202205,ABERDEEN,DENMARK,BILLUND,SUN AIR JETS,D,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,2,50.000000,24
22/07/2022 16:26,202205,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,A,S,20,0,1,0.000000,38.095238,28.571429,14.285714,4.761905,9.523810,0.000000,0.000000,0.000000,0.000000,4.761905,16,1,100.000000,2
22/07/2022 16:26,202205,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,D,S,20,0,1,0.000000,33.333333,42.857143,0.000000,14.285714,4.761905,0.000000,0.000000,0.000000,0.000000,4.761905,13,1,100.000000,0
22/07/2022 16:26,202205,ABERDEEN,FAROE ISLANDS,VAGAR,AIR HAMBURG,D,C,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,GREECE,CORFU,TUI AIRWAYS LTD,A,C,2,0,0,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,86,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,GREECE,CORFU,TUI AIRWAYS LTD,D,C,4,0,0,0.000000,25.000000,50.000000,0.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,GREECE,RHODES,TUI AIRWAYS LTD,A,C,3,0,0,0.000000,0.000000,33.333333,33.333333,0.000000,33.333333,0.000000,0.000000,0.000000,0.000000,0.000000,34,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,GREECE,RHODES,TUI AIRWAYS LTD,D,C,4,0,0,0.000000,0.000000,75.000000,0.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,A,S,25,0,0,0.000000,4.000000,28.000000,12.000000,28.000000,20.000000,8.000000,0.000000,0.000000,0.000000,0.000000,45,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,D,S,27,0,0,0.000000,22.222222,40.740741,22.222222,7.407407,7.407407,0.000000,0.000000,0.000000,0.000000,0.000000,18,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,A,S,1,0,1,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,D,S,1,0,3,0.000000,0.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.000000,3,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,A,S,119,0,0,0.000000,24.369748,35.294118,15.966387,18.487395,5.042017,0.840336,0.000000,0.000000,0.000000,0.000000,19,56,100.000000,1
22/07/2022 16:26,202205,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,D,S,117,0,0,0.000000,12.820513,43.589744,17.094017,17.948718,7.692308,0.854701,0.000000,0.000000,0.000000,0.000000,23,56,98.214286,2
22/07/2022 16:26,202205,ABERDEEN,NORWAY,BERGEN,LOGANAIR LTD,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,33.333333,0
22/07/2022 16:26,202205,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,A,S,49,0,1,2.000000,40.000000,46.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4,23,100.000000,1
22/07/2022 16:26,202205,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,D,S,49,0,1,0.000000,8.000000,60.000000,26.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,10,23,100.000000,0
22/07/2022 16:26,202205,ABERDEEN,NORWAY,STAVANGER,SAS,A,S,41,0,1,4.761905,30.952381,47.619048,0.000000,9.523810,0.000000,4.761905,0.000000,0.000000,0.000000,2.380952,13,20,100.000000,2
